id, check, result
g1, id, True
g1, name, True
g1, charge, True
g1, group, True
g1, group_type, True
g1, N, True
g1, coupling, True
g1, boson, True
g1, _dim_check, True
g2, id, True
g2, name, True
g2, charge, True
g2, group, True
g2, group_type, True
g2, N, True
g2, coupling, True
g2, boson, True
g2, _dim_check, True
g3, id, True
g3, name, True
g3, charge, True
g3, group, True
g3, group_type, True
g3, N, True
g3, coupling, True
g3, boson, True
g3, _dim_check, True
s1, _type_check, True
s1, _id_check, True
s1, _name_check, True
s1, _mass_check, True
s1, _charge_check, True
s1, _check_mass_type, True
s2, _type_check, True
s2, _id_check, True
s2, _name_check, True
s2, _mass_check, True
s2, _charge_check, True
s2, _check_mass_type, True
f1, _type_check, True
f1, _id_check, True
f1, _name_check, True
f1, _mass_check, True
f1, _charge_check, True
f1, _WeylSpinor, True
f1, _check_mass_type, True
f2, _type_check, True
f2, _id_check, True
f2, _name_check, True
f2, _mass_check, True
f2, _charge_check, True
f2, _WeylSpinor, True
f2, _check_mass_type, True
f3, _type_check, True
f3, _id_check, True
f3, _name_check, True
f3, _mass_check, True
f3, _charge_check, True
f3, _WeylSpinor, True
f3, _check_mass_type, True
f4, _type_check, True
f4, _id_check, True
f4, _name_check, True
f4, _mass_check, True
f4, _charge_check, True
f4, _WeylSpinor, True
f4, _check_mass_type, True
f5, _type_check, True
f5, _id_check, True
f5, _name_check, True
f5, _mass_check, True
f5, _charge_check, True
f5, _WeylSpinor, True
f5, _check_mass_type, True
f6, _type_check, True
f6, _id_check, True
f6, _name_check, True
f6, _mass_check, True
f6, _charge_check, True
f6, _WeylSpinor, True
f6, _check_mass_type, True
f7, _type_check, True
f7, _id_check, True
f7, _name_check, True
f7, _mass_check, True
f7, _charge_check, True
f7, _WeylSpinor, True
f7, _check_mass_type, True
f8, _type_check, True
f8, _id_check, True
f8, _name_check, True
f8, _mass_check, True
f8, _charge_check, True
f8, _WeylSpinor, True
f8, _check_mass_type, True
f9, _type_check, True
f9, _id_check, True
f9, _name_check, True
f9, _mass_check, True
f9, _charge_check, True
f9, _WeylSpinor, True
f9, _check_mass_type, True
f10, _type_check, True
f10, _id_check, True
f10, _name_check, True
f10, _mass_check, True
f10, _charge_check, True
f10, _WeylSpinor, True
f10, _check_mass_type, True
f11, _type_check, True
f11, _id_check, True
f11, _name_check, True
f11, _mass_check, True
f11, _charge_check, True
f11, _WeylSpinor, True
f11, _check_mass_type, True
f12, _type_check, True
f12, _id_check, True
f12, _name_check, True
f12, _mass_check, True
f12, _charge_check, True
f12, _WeylSpinor, True
f12, _check_mass_type, True
m6, _id_check, True
m6, _name_check, True
m6, _type_check, True
m6, _groups_check, True
m6, _reps_check, True
m6, _dim_check, True
m6, _gen_check, True
m6, _particles_check, True
m6, _self_conjugate_check, True
m6, _QuantumNumbers_check, True
m6, _ptcl_check, True
m6, _create_generation_index, True
m6, _check_gen_type_consistency, True
m6, _check_reps, True
m1, _id_check, True
m1, _name_check, True
m1, _type_check, True
m1, _groups_check, True
m1, _reps_check, True
m1, _dim_check, True
m1, _gen_check, True
m1, _particles_check, True
m1, _self_conjugate_check, True
m1, _QuantumNumbers_check, True
m1, _ptcl_check, True
m1, _create_generation_index, True
m1, _check_gen_type_consistency, True
m1, _check_reps, True
m1, _chirality_check, True
m1, _assign_colors, True
m1, _sort_unphy_fields, True
m1, _sort_phy_fields, True
m2, _id_check, True
m2, _name_check, True
m2, _type_check, True
m2, _groups_check, True
m2, _reps_check, True
m2, _dim_check, True
m2, _gen_check, True
m2, _particles_check, True
m2, _self_conjugate_check, True
m2, _QuantumNumbers_check, True
m2, _ptcl_check, True
m2, _create_generation_index, True
m2, _check_gen_type_consistency, True
m2, _check_reps, True
m2, _chirality_check, True
m2, _assign_colors, True
m2, _sort_unphy_fields, True
m2, _sort_phy_fields, True
m3, _id_check, True
m3, _name_check, True
m3, _type_check, True
m3, _groups_check, True
m3, _reps_check, True
m3, _dim_check, True
m3, _gen_check, True
m3, _particles_check, True
m3, _self_conjugate_check, True
m3, _QuantumNumbers_check, True
m3, _ptcl_check, True
m3, _create_generation_index, True
m3, _check_gen_type_consistency, True
m3, _check_reps, True
m3, _chirality_check, True
m3, _assign_colors, True
m3, _sort_unphy_fields, True
m3, _sort_phy_fields, True
m4, _id_check, True
m4, _name_check, True
m4, _type_check, True
m4, _groups_check, True
m4, _reps_check, True
m4, _dim_check, True
m4, _gen_check, True
m4, _particles_check, True
m4, _self_conjugate_check, True
m4, _QuantumNumbers_check, True
m4, _ptcl_check, True
m4, _create_generation_index, True
m4, _check_gen_type_consistency, True
m4, _check_reps, True
m4, _chirality_check, True
m4, _assign_colors, True
m4, _sort_unphy_fields, True
m4, _sort_phy_fields, True
m5, _id_check, True
m5, _name_check, True
m5, _type_check, True
m5, _groups_check, True
m5, _reps_check, True
m5, _dim_check, True
m5, _gen_check, True
m5, _particles_check, True
m5, _self_conjugate_check, True
m5, _QuantumNumbers_check, True
m5, _ptcl_check, True
m5, _create_generation_index, True
m5, _check_gen_type_consistency, True
m5, _check_reps, True
m5, _chirality_check, True
m5, _assign_colors, True
m5, _sort_unphy_fields, True
m5, _sort_phy_fields, True
i1, _id_check, True
i1, _field_length_check, True
i1, _field_type_check, True
i1, _field_check, True
i1, _all_field_pass_checks, True
i1, _check_replicate_fields, True
i1, _check_replicate_particles, True
i1, _sort_field, True
i1, _gen_check, True
i1, _dim_check, True
i1, _dirac_bilinear_product, True
i1, _get_massive_particles, True
i1, _check_massive_particles, True
i1, _check_U1Y_gauge_symmetry, True
i1, _yukawa_mass, True
i1, _yukawa_matrix, True
i2, _id_check, True
i2, _field_length_check, True
i2, _field_type_check, True
i2, _field_check, True
i2, _all_field_pass_checks, True
i2, _check_replicate_fields, True
i2, _check_replicate_particles, True
i2, _sort_field, True
i2, _gen_check, True
i2, _dim_check, True
i2, _dirac_bilinear_product, True
i2, _get_massive_particles, True
i2, _check_massive_particles, True
i2, _check_U1Y_gauge_symmetry, True
i2, _yukawa_mass, True
i2, _yukawa_matrix, True
i3, _id_check, True
i3, _field_length_check, True
i3, _field_type_check, True
i3, _field_check, True
i3, _all_field_pass_checks, True
i3, _check_replicate_fields, True
i3, _check_replicate_particles, True
i3, _sort_field, True
i3, _gen_check, True
i3, _dim_check, True
i3, _dirac_bilinear_product, True
i3, _get_massive_particles, True
i3, _check_massive_particles, True
i3, _check_U1Y_gauge_symmetry, True
i3, _yukawa_mass, True
i3, _yukawa_matrix, True
